,marca_x,modelo_x,marca_y_modelo_km77,match,marca_y,modelo_y,marca_y_modelo_dgt
456,FORD,S MAX,FORD S MAX,FORD S MAX,FORD,S MAX,FORD S MAX
457,FORD,S MAX,FORD S MAX,FORD S MAX,FORD,S MAX,FORD S MAX
458,JEEP,GRAND CHEROKEE,JEEP GRAND CHEROKEE,JEEP GRAND CHEROKEE,JEEP,GRAND CHEROKEE,JEEP GRAND CHEROKEE
459,JEEP,GRAND CHEROKEE TRACKHAWK,JEEP GRAND CHEROKEE TRACKHAWK,JEEP GRAND CHEROKEE,JEEP,GRAND CHEROKEE,JEEP GRAND CHEROKEE
460,FERRARI,ROMA,FERRARI ROMA,FERRARI ROMA,FERRARI,ROMA,FERRARI ROMA
461,DFSK,580,DFSK 580,DFSK 580,DFSK,580,DFSK 580
462,SUZUKI,SWACE,SUZUKI SWACE,SUZUKI SWACE,SUZUKI,SWACE,SUZUKI SWACE
463,ALFA ROMEO,TONALE PHEV,ALFA ROMEO TONALE PHEV,ALFA ROMEO TONALE,ALFA ROMEO,TONALE,ALFA ROMEO TONALE
464,ALFA ROMEO,TONALE,ALFA ROMEO TONALE,ALFA ROMEO TONALE,ALFA ROMEO,TONALE,ALFA ROMEO TONALE
465,RANGE ROVER,VELAR,RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR,LAND ROVER,RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR
466,LAND ROVER,RANGE ROVER VELAR PHEV,LAND ROVER RANGE ROVER VELAR PHEV,LAND ROVER RANGE ROVER VELAR,LAND ROVER,RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR
467,LAND ROVER,RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR,LAND ROVER,RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR
468,LAND ROVER,RANGE ROVER VELAR SVAUTOBIOGRAPHY DYNAMIC EDITION,LAND ROVER RANGE ROVER VELAR SVAUTOBIOGRAPHY DYNAMIC EDITION,LAND ROVER RANGE ROVER VELAR,LAND ROVER,RANGE ROVER VELAR,LAND ROVER RANGE ROVER VELAR
